,userId,movieId,rating,timestamp
0,1,1,4.0,964982703
1,1,3,4.0,964981247
2,1,6,4.0,964982224
3,1,47,5.0,964983815
4,1,50,5.0,964982931
5,1,70,3.0,964982400
6,1,101,5.0,964980868
25,1,457,5.0,964981909
35,1,596,5.0,964982838
261,3,31,0.5,1306463578
300,4,21,3.0,986935199
301,4,32,2.0,945173447
303,4,47,2.0,945173425
308,4,126,1.0,986848920
309,4,162,5.0,945078571
312,4,190,2.0,945079259
331,4,457,5.0,945079259
340,4,595,3.0,986848609
351,4,904,4.0,945079837
358,4,930,5.0,964538571
379,4,1199,2.0,945078967
456,4,2921,4.0,945078708
516,5,1,4.0,847434962
517,5,21,4.0,847435238
518,5,34,4.0,847434881
519,5,36,4.0,847435292
520,5,39,3.0,847434961
521,5,50,4.0,847434881
544,5,457,4.0,847434801
555,5,594,5.0,847435238
556,5,595,5.0,847434832
557,5,596,5.0,847435292
560,6,2,4.0,845553522
561,6,3,5.0,845554296
562,6,4,3.0,845554349
563,6,5,5.0,845553938
564,6,6,4.0,845553757
565,6,7,4.0,845554264
566,6,8,3.0,845555281
567,6,10,3.0,845553253
568,6,11,4.0,845553489
569,6,13,3.0,845555588
570,6,15,4.0,845554505
571,6,16,4.0,845553819
572,6,17,4.0,845553559
573,6,19,2.0,845553382
574,6,21,2.0,845553382
575,6,22,5.0,845553875
576,6,24,4.0,845554397
577,6,25,3.0,845553695
578,6,26,4.0,845555362
579,6,27,3.0,845555402
580,6,31,3.0,845553819
581,6,32,4.0,845553426
582,6,34,4.0,845553354
583,6,36,5.0,845553726
584,6,41,4.0,845554962
585,6,43,4.0,845555607
588,6,47,4.0,845553317
589,6,50,1.0,845553381
590,6,54,4.0,845555402
591,6,60,4.0,845554263
595,6,66,3.0,845555151
599,6,87,3.0,845555300
612,6,126,3.0,845555342
631,6,177,3.0,845554931
640,6,196,3.0,845553586
647,6,210,4.0,845556310
661,6,239,3.0,845554987
662,6,240,3.0,845555571
663,6,243,3.0,845555588
665,6,250,4.0,845555588
671,6,257,5.0,845554176
674,6,262,5.0,845554551
698,6,313,3.0,845555546
707,6,332,3.0,845555046
744,6,383,3.0,845554320
749,6,416,3.0,845554962
751,6,426,3.0,845554551
761,6,457,5.0,845553174
774,6,490,3.0,845554584
795,6,540,3.0,845554099
810,6,594,4.0,845553819
811,6,595,5.0,845553174
812,6,596,3.0,845554141
814,6,606,3.0,845555024
817,6,616,5.0,845554062
823,6,662,3.0,845556147
855,6,880,3.0,845556181
874,7,1,4.5,1106635946
875,7,50,4.5,1106635993
889,7,595,3.5,1106712636
928,7,3354,1.5,1106713005
1026,8,2,4.0,839463806
1027,8,10,2.0,839463509
1028,8,11,4.0,839463806
1029,8,21,4.0,839463564
1030,8,32,3.0,839463624
1031,8,34,5.0,839463546
1032,8,39,3.0,839463644
1033,8,47,4.0,839463546
1034,8,50,5.0,839463644
1062,8,457,3.0,839463489
1073,9,41,3.0,1044656650
1090,9,2877,3.0,1044657221
1259,11,6,5.0,902154266
1260,11,10,3.0,902154316
1261,11,36,4.0,902155135
1262,11,44,2.0,902154593
1279,11,457,5.0,902154316
1323,12,39,4.0,1247264471
1355,13,47,5.0,987895819
1386,14,4,3.0,835441653
1387,14,7,3.0,835441989
1388,14,19,1.0,835441168
1389,14,25,4.0,835441394
1390,14,32,4.0,835441168
1391,14,39,3.0,835441186
1392,14,47,5.0,835441133
1413,14,383,4.0,835441729
1425,14,540,3.0,835441794
1434,15,1,2.5,1510577970
1435,15,44,1.0,1299424916
1436,15,47,3.5,1510571970
1450,15,596,2.0,1510578088
1569,16,47,3.5,1377477814
1570,16,50,4.0,1377476781
1571,16,111,4.5,1377477446
1584,16,745,4.0,1377476943
1588,16,904,3.5,1377476805
1590,16,913,4.0,1377477016
1602,16,1199,5.0,1377477911
1667,17,1,4.5,1305696483
1668,17,44,3.5,1305696245
